Creator,Follower Count,Reel link,Views,# Shares ,"spoken: 

text: 

visual: ",Format,Intensity,Duration (sec),Audio,Funnel,CTA,Notes,Pillar,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27
,,https://www.instagram.com/reel/DSHCcO0jcNu/,"443,939","4,573","text: i won't tell anyone my spark is back but there will be signs

visual: it's just b roll of her looking back and forth at the camera, in make up, then tilting her head and smiling ",Silent film / B-roll ,low,10,no backing audio,Attract,N/A,"- invites curiosity and retention - viewer is trying to figure out what the catch line is or what the transformation is
- her smile lines up with the music going into a higher note / invites happiness without explanation
- higher exposure than her other videos
- she doesn't have a CTA just a white heart emoji in the caption, but i feel this is attract because it doesn't dive more into who she is or what her message is
- subtle low effort transformation - it's all in the expression, reminds me of that ""smile to frown"" silent acting challenge trend",Mindset,,,,,,,,,,,,,
,,https://www.instagram.com/reel/DSTpqaajUjw/,"319,551","4,552","spoken: ""want to learn how to enjoy your own company? great you're in the right place"" 

text: ""learning to enjoy your own company"" (subtext) - title: alone but not lonely - episode 3

visual: various clips - her mixing her starbucks with her hand, alone, a small photo of only herself coming out of what appears to be a photo booth slot, grocery produce aisle, her shopping alone, her sitting in the park drinking her coffee alone",Vlog,medium to high - lots of different clips used,49,she does have backing audio but i can't make it out very well,Attract,"so if you’re here because you want to learn how to enjoy your own company PERIODD IM PROUD OF YOU, start here, because i have more to share and we have more dates
","- vlog focuses on value: how to be comfortable being alone
(being alone is one of the most vulnerable, insecure experiences a human can go through)
there is a human need for connection and socializing
how can we embrace those moments we can't be socializing or in a relationship?
- anyway, she uses a lot of clips to support her point while keeping retention high, with backing vocals that have a rising action, i need to get that song
- keeps it short
- people can see themselves in her POV",Lifestyle,,,,,,,,,,,,,
,,https://www.instagram.com/reel/DSkuyJHCckr/,"296,306","4,394","text: ""me and all the lives i lived in 2025""

visual: flashes one finger to the camera to emphasize the lyric ""one taught me love""
medium shot of her in the kitchen but it's higher exposure with the background lit",Silent film / B-roll ,low intensity,15,"ariana grande - thank u, next",Attract,N/A,"- showcasing the pain she went through last year in a relatable way, via a popular, relatable song (consistent with her other ariana grande post - the safety net one)
- people can see themselves in her
- payoff at the end ""love turned out lust, but thats not what i see""",Passions,,,,,,,,,,,,,
,,https://www.instagram.com/reel/DTL8FP7jZFi/,"191,820",13.9K,"text: ""he severely unwell best friend trying to also help the severely unwell best friend""

audio: ""focus focus focus... do you suffer from anxiety... depression...""

visual: she's in her car holding her phone, as if talking to her BFF on the phone",Relatable/Comedy,low intensity,11,audio - renixrily https://www.instagram.com/reels/audio/26351574291110361/ ,Nurture,N/A,"- the BTS of how she acts with her and her friends
- more on her personality - shows in her expression - playful, funny, light hearted, self aware",Passions,,,,,,,,,,,,,
@aimann.ai,108k,https://www.instagram.com/reel/DTbV-fVAAtp/,"9,968,090",187K,"spoken & text hook: Day 4 of posting a video where a tech CEO says something diabolically evil in broad daylight 

visual: he's in his car, center frame, closed captioning, skylight, parking lot",Talking head,low-med intensity,14,no backing audio,Attract,Follow for day 5!,"- brief but specific enough hook
- good vs evil story arc
- simple language
- ""said in broad daylight"" (skylight, open blue sky through window)
- screen recording of what ceo said  - in this case it was Sam Altman stating that AI would probably cause destruction but it's fine because some great companies will be established in the interim
- no pause in between
- short duration",Skill,,,,,,,,,,,,,
,,https://www.instagram.com/reel/DTeEypmgLEh/,"5,191,754",73.5K,"spoken & text hook: Day 5 of posting a video where a tech CEO says something diabolically evil in broad daylight 

visual: he's in his car, center frame, closed captioning, skylight, parking lot",Talking head,low-med intensity,29,no backing audio,Attract,Follow for day 6!,"- same as above
- he is picking the clips with an intentional emphasis on stronger tech power, lessening human rights and voice. this one was focused on pulling voting and political power from the people, and controlling the market as well as public opinion further",Skill,,,,,,,,,,,,,
,,https://www.instagram.com/reel/DTYrXKRCQhZ/,"4,223,285",77.5K,"spoken & text hook: Day 3 of posting a video where a tech CEO says something diabolically evil in broad daylight 

visual: he appears outside of his house, center frame, closed captioning, yellow wall, high exposure",Talking head,low-med intensity,15,no backing audio,Attract,Follow for day 4!,"- same as above
- change in location - still in broad daylight - backwall is outside of his home it looks like? it's yellow
- emphasis on plantair CEO - this is the second post that is an outlier and focuses on a quote by him
- this time the CEO is stating he would love to get a drone and getting light fentayl laced with urine sprayed over the analysts that try to ""screw us""

this is such an absurd statement",Skill,,,,,,,,,,,,,
,,https://www.instagram.com/reel/DTnv1AHgIzw/,"4,057,028",34.1K,"spoken & text hook: Day 7 of posting a video where a tech CEO says something diabolically evil in broad daylight 

visual: he is inside his home, center frame, closed captioning, medium exposure",Talking head,low-med intensity,30,no backing audio,Attract,Follow for day 8!,"- this one is CEO of Duolingo
- quote: 
Nobody in the company wanted to make money. We had hired a bunch of people who were like communists or something.
(0:13) Nobody wanted to make money because because everybody who came to work for Duolingo came for the mission. (0:18) They were like, okay, it's about free education. (0:20) So when I stood in front of the whole company, which at the time is not that big, it's maybe 100 to 150 people.
(0:26) And I said to everyone that we needed to make money. (0:30) Nobody wanted to do it.

comments centered around 
- Moral outrage
- Economic debate
- Product criticism",Skill,,,,,,,,,,,,,
,,https://www.instagram.com/reel/DTS9ZCrgM-m/,"3,126,815",41K,"spoken & text hook: Day 1 of posting a video where a tech CEO says something diabolically evil in broad daylight 

visual: he's in his car, center frame, closed captioning, skylight, parking lot. this one is slightly lower - camera is a little more below his chin line",Talking head,low intensity,19,no backing audio,Attract,Follow for day 2!,"- Peter Thiel, co founder of Plantair (3x mention)
- Interviewer: ""You would prefer the human race to endure, right?""
- Peter: (hestitates)
- Interviewer: you're hesitating
- Peter: well I dont know I would um I would
- Interviewer: that's a long hestitation
- there is many questions

This series works because it leverages two powerful engagement triggers:

Moral framing
Ambiguous evidence",Skill,,,,,,,,,,,,,
,,https://www.instagram.com/reel/DTyqSedABhq/,"1,963,638","8,323","spoken & text hook: Day 8 of posting a video where a tech CEO says something diabolically evil in broad daylight 

visual: he is inside his home, center frame, closed captioning, low exposure, bright orange t shirt",Talking head,low,18,no backing audio,Attract,Follow for day 9!,"- he is wearing a bright orange shirt against a dark, room background
- consistency with successful hook

Alex Karp
CEO of Palantir
If you're pro Palestine he's talking about you btw...

so the primary source of death in Palestine is the fact that hamas has realized that there are millions and millions of useful idiots that will stop using that excuse this is why you don't get a platform",Skill,,,,,,,,,,,,,
